"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"1985",1985,0,0,NA,NA,0,1,1,2,NA,1300,1500,3,0,5,1,2,2,8,4,15,3,7,60,5
"1986",1986,NA,0,NA,0,NA,1,1,1,NA,500,700,2,0,3,5,5,2,0,5,4,3,5,48,5
"1987",1987,0,0,1,1,0,3,1,1,NA,1833.33337402344,2000,3,1,5,5,2,1,10,2,10,3,4,63,2
"1988",1988,0,0,NA,NA,0,3,1,2,NA,2500,2500,3,0,5,5,2,1,5,2,6,2,4,52,2
"1989",1989,0,1,0,NA,1,2,2,2,NA,750,500,1,0,5,5,2,NA,5,2,3,1,9,23,4
"1990",1990,0,0,0,0,0,3,1,NA,NA,666.666687011719,2000,3,1,4,4,4,1,NA,3,NA,3,3,59,4
"1991",1991,0,0,0,0,0,3,1,2,NA,500,510,1,0,5,5,1,1,5,1,6,2,3,62,1
"1992",1992,0,0,NA,0,0,3,1,2,NA,866.666687011719,1700,3,1,4,4,4,1,5,3,NA,2,3,28,3
"1993",1993,0,0,0,0,0,3,2,2,NA,500,1000,2,1,4,4,5,1,9,4,3,1,3,80,4
"1994",1994,NA,NA,NA,0,NA,1,2,1,NA,1000,510,1,0,5,5,4,2,5,3,4,2,4,80,4
"1995",1995,0,0,0,0,0,3,1,1,NA,266.666656494141,800,2,1,4,4,NA,1,5,4,4,3,3,38,4
"1996",1996,0,0,0,NA,0,2,1,2,NA,750,500,1,0,5,5,5,NA,9,5,2,2,3,57,5
"1997",1997,0,0,0,0,0,1,1,1,NA,1666.66662597656,790,2,1,5,5,1,2,0,1,9,3,7,21,1
"1998",1998,0,NA,1,0,0,1,1,2,NA,1666.66662597656,1021,3,0,4,5,4,2,9,4,6,3,6,47,4
"1999",1999,0,0,0,0,0,3,1,1,NA,1000,510,1,0,5,5,3,1,4,3,5,3,9,27,4
"2000",2000,0,0,0,0,0,3,2,1,NA,3000,2000,3,1,5,5,5,1,5,5,12,3,7,31,5
